attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,286,Authentication,,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:e2:ad:d7:27:2d,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,287,Authentication,,-62,,78:72:64:ea:b9:14,da:78:34:c7:55:8e,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,288,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:e2:ad:d7:27:2d,,76,Unsuccessful Authentication (check status code) to Trusted AP
,289,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:e2:ad:d7:27:2d,,76,Unsuccessful Authentication (check status code) to Trusted AP
,291,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:e2:ad:d7:27:2d,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,292,Authentication,,-63,,78:72:64:ea:b9:14,72:11:90:ce:d5:d2,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,293,Authentication,,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,12:59:03:4f:b2:19,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,294,Authentication,,-64,,78:72:64:ea:b9:14,9a:95:20:bc:6b:57,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,295,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,12:59:03:4f:b2:19,,76,Unsuccessful Authentication (check status code) to Trusted AP
,296,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,12:59:03:4f:b2:19,,76,Unsuccessful Authentication (check status code) to Trusted AP
