packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
14722,17281693367,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14723,17281744603,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14724,17281751009,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14725,17281757415,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14726,17281764134,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14727,17281803958,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14728,17281857206,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14729,17281884568,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14730,17281891184,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14731,17281898049,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14732,17281904665,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14733,17281922742,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14734,17281960630,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14735,17282021046,Authentication,166,34,-58,920,0,11,0,0,0,0,0,0,0,0
14736,17282034628,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14737,17282041141,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14738,17282047912,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14739,17282054373,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14740,17282072243,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14741,17282119349,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14742,17282184885,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14743,17282217653,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14744,17282223695,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14745,17282230155,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14746,17282235730,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14747,17282242503,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14748,17282283188,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14749,17282325404,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
14750,17282348724,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14751,17282381491,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14752,17282386446,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14753,17282393009,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14754,17282399469,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14755,17282405616,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14756,17282447027,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14757,17282491058,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14758,17282528875,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14759,17282534295,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14760,17282541065,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14761,17282545330,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14762,17282550126,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14763,17282610866,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14764,17282647729,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14765,17282664628,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14766,17282671190,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14767,17282676505,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14768,17282683277,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14769,17282709170,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14770,17282769582,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14771,17282788823,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
14772,17282796973,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14773,17282803744,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14774,17282812025,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14775,17282818745,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14776,17282873008,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14777,17282920112,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14778,17282944510,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14779,17282950967,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14780,17282957687,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14781,17282963628,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14782,17282971312,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14783,17283030700,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14784,17283069616,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14785,17283074412,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14786,17283081027,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14787,17283087694,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14788,17283093427,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14789,17283135150,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14790,17283144609,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
14791,17283189421,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14792,17283206225,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14793,17283212635,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14794,17283219094,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14795,17283225811,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14796,17283233454,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14797,17283298989,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14798,17283339948,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14799,17283364867,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14800,17283377420,Authentication,166,34,-19,920,0,11,0,0,1,0,0,0,720,0
14801,17283383827,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14802,17283397293,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14803,17283462829,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14804,17283495597,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14805,17283561132,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14806,17283584849,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14807,17283591308,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14808,17283597038,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14809,17283603028,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14810,17283609258,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14811,17283659435,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14812,17283724601,Authentication,166,34,-19,920,0,11,0,0,0,0,0,0,720,0
14813,17283731164,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14814,17283737363,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14815,17283743928,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14816,17283757738,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14817,17283823274,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14818,17283864051,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14819,17283870823,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14820,17283878010,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14821,17283884629,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14822,17283921578,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14823,17283938436,Disassociation,64,34,-17,920,0,10,0,0,0,0,0,0,720,0
14824,17283942227,Disassociation,64,34,-18,920,0,10,0,0,1,0,0,0,720,0
14825,17283945186,Disassociation,64,34,-17,920,0,10,0,0,1,0,0,0,720,0
14826,17283948925,Disassociation,64,34,-17,920,0,10,0,0,1,0,0,0,720,0
14827,17283963811,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
14828,17283987113,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14829,17283998303,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14830,17284005074,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14831,17284011635,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14832,17284018041,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14833,17284033192,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14834,17284085417,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14835,17284122208,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14836,17284128878,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14837,17284135647,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14838,17284141171,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14839,17284150953,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14840,17284183720,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
