attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,3582,QoS Data,2026-07-03T14:00:09.654306000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3601,QoS Data,2026-07-03T14:00:14.690126000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3606,QoS Data,2026-07-03T14:00:14.699690000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3610,QoS Data,2026-07-03T14:00:14.777648000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3620,QoS Data,2026-07-03T14:00:19.718931000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3623,QoS Data,2026-07-03T14:00:19.727717000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3626,QoS Data,2026-07-03T14:00:19.777557000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3639,QoS Data,2026-07-03T14:00:24.760079000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3642,QoS Data,2026-07-03T14:00:24.768938000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3645,QoS Data,2026-07-03T14:00:25.027640000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3663,QoS Data,2026-07-03T14:00:29.785326000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3666,QoS Data,2026-07-03T14:00:29.798287000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3685,QoS Data,2026-07-03T14:00:34.815212000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3688,QoS Data,2026-07-03T14:00:34.828235000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3691,QoS Data,2026-07-03T14:00:35.027695000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3703,QoS Data,2026-07-03T14:00:39.845189000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3706,QoS Data,2026-07-03T14:00:39.854447000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3710,QoS Data,2026-07-03T14:00:40.027677000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3720,QoS Data,2026-07-03T14:00:44.865201000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3725,QoS Data,2026-07-03T14:00:45.027678000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3737,QoS Data,2026-07-03T14:00:49.885407000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3742,QoS Data,2026-07-03T14:00:50.027548000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3772,QoS Data,2026-07-03T14:00:54.913886000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3775,QoS Data,2026-07-03T14:00:55.027287000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3792,QoS Data,2026-07-03T14:00:59.924860000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3795,QoS Data,2026-07-03T14:00:59.934470000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3807,QoS Data,2026-07-03T14:01:04.944812000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3810,QoS Data,2026-07-03T14:01:04.954498000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3813,QoS Data,2026-07-03T14:01:05.027294000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3825,QoS Data,2026-07-03T14:01:09.974832000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3828,QoS Data,2026-07-03T14:01:09.983974000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3831,QoS Data,2026-07-03T14:01:10.027300000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3855,QoS Data,2026-07-03T14:01:14.994858000Z,-8,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3858,QoS Data,2026-07-03T14:01:15.006956000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3861,QoS Data,2026-07-03T14:01:15.027786000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3864,QoS Data,2026-07-03T14:01:15.032791000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3877,QoS Data,2026-07-03T14:01:20.015262000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
