attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,1620,QoS Data,2026-07-03T15:10:45.872528000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,1623,QoS Data,2026-07-03T15:10:45.877187000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,1624,QoS Data,2026-07-03T15:10:45.880318000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3,QoS Data,2026-07-03T15:11:41.710626000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,5,QoS Data,2026-07-03T15:11:41.726319000Z,-65,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,7,QoS Data,2026-07-03T15:11:41.733295000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,9,QoS Data,2026-07-03T15:11:41.737177000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,10,QoS Data,2026-07-03T15:11:41.742628000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,11,QoS Data,2026-07-03T15:11:41.747247000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,12,QoS Data,2026-07-03T15:11:41.757899000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,15,QoS Data,2026-07-03T15:11:41.942988000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,34,QoS Data,2026-07-03T15:11:46.780322000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,36,QoS Data,2026-07-03T15:11:46.785325000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,37,QoS Data,2026-07-03T15:11:46.943069000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,39,QoS Data,2026-07-03T15:11:46.949165000Z,-65,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,55,QoS Data,2026-07-03T15:11:51.790630000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,57,QoS Data,2026-07-03T15:11:51.793442000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,59,QoS Data,2026-07-03T15:11:51.804609000Z,-60,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,62,QoS Data,2026-07-03T15:11:51.943100000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
